objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"A Game of Thrones: The Card Game (Second Edition) – Watchers on the Wall","217960","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","81789927","5.59228","8.08788","0","0","1115","thing","A Game of Thrones: The Card Game (Second Edition) – Watchers on the Wall","2","4","120","120","60","2017","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"A Game of Thrones: The Card Game (Second Edition) – Wolves of the North","189169","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","81789951","5.66138","7.91058","3.5","0","1542","thing","A Game of Thrones: The Card Game (Second Edition) – Wolves of the North","2","4","120","120","60","2016","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"The Game: Spiel...so lange du kannst!","173090","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50865535","6.49958","6.71126","1.2396","1348","26123","thing","The Game","1","5","20","20","20","2015","1,2,3,4,5","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Game Factory","French; German; Italian","2015","Swiss first edition"
"Gizmos","246192","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","104553679","7.07386","7.35804","2.0651","419","19227","thing","Gizmos","2","4","50","50","40","2018","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","asmodee","Italian","2018","Italian edition"
"Goblins","56246","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","11202963","5.47167","5.13252","1.5714","30169","293","thing","Goblins","2","6","50","50","50","2009","3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","2193","","standalone","","22","EUR","","","2010-09-17","GA","","","","","","","",""
"The Great Dalmuti","929","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","9699869","6.30745","6.60035","1.2828","1879","16126","thing","The Great Dalmuti","4","8","60","60","60","1994","5,6,7,8","6,7","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Wizards of the Coast","English","1994","English first edition"
"The Great Split","366752","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","133410360","6.25914","6.96945","2.0635","2034","3775","thing","The Great Split","2","7","45","45","45","2023","3,4,5,6,7","4,5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Ghenos Games; Horrible Guild","Italian","2023","Italian edition"
"Great Western Trail: Argentinien","364011","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","111439920","7.36439","8.19107","3.9035","199","9956","thing","Great Western Trail: Argentina","1","4","150","150","75","2022","1,2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","eggertspiele","German","2022","German edition"
"Il Guanto dell'Infinito: Un Gioco Love Letter","304285","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","76331034","6.35594","6.90897","1.24","1712","10519","thing","Infinity Gauntlet: A Love Letter Game","2","6","15","15","15","2020","3,4,5,6","4,5","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Z-Man Games","Italian","2020","Italian edition"
"Hamunaptra: Aventures dans la Grande Pyramide","65581","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","25516300","5.4897","5.37734","2.2","28571","268","thing","Hamunaptra: Aventures dans la Grande Pyramide","2","8","60","60","60","2010","5,6,7,8","2","8","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Edge Entertainment","French","2010","French edition"
"Hansa Teutonica","43015","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","111309145","7.47236","7.7535","3.0882","147","14416","thing","Hansa Teutonica","2","5","90","90","45","2014","3,4,5","5","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Argentum Verlag","German","2014","German third edition"
"Hansa Teutonica: Britannia","162179","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","111309793","6.1097","8.05278","3.4722","0","2769","thing","Hansa Teutonica: Britannia","2","5","90","90","45","2014","3,4,5","4,5","12+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","Argentum Verlag","English; French; German","2014","English/French/German edition"
"Hansa Teutonica: East Expansion","83404","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","111309794","6.25402","8.06898","3.1618","0","3360","thing","Hansa Teutonica: East Expansion","3","5","75","75","45","2010","3,4,5","4","12+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","Argentum Verlag; Z-Man Games","English; German","2010","English/German first edition"
"Heat","366013","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","107506399","7.79514","7.99156","2.2012","47","64827","thing","Heat: Pedal to the Metal","1","6","60","60","30","2023","1,2,3,4,5,6","5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Days of Wonder","Italian","2023","Italian edition"
"Die heisse Schlacht am kalten Buffet","3383","5.5","0","0","1","0","0","0","0","0","0","0","3","","","","","","6985794","5.76488","6.367","1.2143","5294","1893","thing","Mahé","2","7","20","20","20","1990","3,4,5,6,7","5,6,7","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Otto Maier Verlag","German","1990","German first edition"
"Hens","348447","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133410237","5.99421","6.84485","1.8413","3249","2729","thing","Hens","1","4","20","20","15","2022","1,2,3,4","3,4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Little Rocket Games","English; Italian","2022","English/Italian edition"
"Hens: Italian Breeds","443826","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133410243","0","6.45","0","0","107","thing","Hens: Italian Breeds","1","4","30","30","20","2025","2,3,4","3,4","","","","","","","","expansion","","","","","","","","","","","","Little Rocket Games","English; Italian","2025","English/Italian edition"
"Hens: Promo cards","377905","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133410241","0","6.88462","0","0","187","thing","Hens: Promo cards","1","4","20","20","15","2023","","","","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","funbot","English","0","English edition"
"HeroQuest","699","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","6985131","6.83938","7.23014","2.1299","712","29026","thing","HeroQuest","2","5","90","90","90","1989","2,3,4,5","5","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","MB Giochi","Italian","1989","Italian edition 1989"
"Heroquest - La rocca di Kellar","1762","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","6985138","6.2056","7.30472","2.1238","0","7614","thing","HeroQuest: Kellar's Keep","2","5","120","120","120","1989","2,3,4,5","5","8–16","Extensive use of text - massive conversion needed to be playable","","","","2193","","expansion","","","","","","","","","","","","MB Giochi","Italian","0","MB Giochi Italian edition"
"Heroquest: L'orda degli Ogre","1765","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","6985136","5.83181","7.46477","2.4828","0","1620","thing","HeroQuest: Against the Ogre Horde","2","5","120","120","120","1993","3,4,5","5","","","","","","2193","","expansion","","","","","","","","","","","","Milton Bradley","Italian","1993","Italian edition"
"Hippocrates","327971","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133410399","5.91905","6.77815","2.9828","3755","3346","thing","Hippocrates","1","4","120","120","90","2021","1,2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Giochix.it","Italian","2021","Italian edition"
"Horse Fever","58110","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","41697195","6.05464","6.93209","2.3654","2930","2265","thing","Horse Fever","2","6","90","90","90","2009","2,3,4,5,6","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Cranio Creations","English; French; German; Italian","2009","Multilingual first edition"
"Indian Summer","233678","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","60487511","6.28299","6.75527","2.1379","1962","7155","thing","Indian Summer","1","4","60","60","15","2018","1,2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Cranio Creations","Italian","2018","Italian edition"
"Infinite City","46807","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","10953064","5.76755","6.16354","1.8917","5252","1901","thing","Infinite City","2","6","45","45","45","2009","2,3,4,5","3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Alderac Entertainment Group","English","2009","English edition"
"Inis","155821","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","111309122","7.5331","7.81644","2.9471","125","30057","thing","Inis","2","4","90","90","60","2019","2,3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Matagot","English","2019","English second edition"
"Inkognito (2013)","466","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","6985711","6.14143","6.6024","2.1624","2491","7355","thing","Inkognito","3","5","90","90","90","2013","4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Ares Games","English","2013","Ares Games English edition 2013"
"L'Isola del Tesoro","242639","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117739569","6.74642","7.19915","2.2014","846","12933","thing","Treasure Island","2","5","45","45","45","2019","3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Mancalamaro; Matagot","Italian","2019","Italian edition"
"It's a Wonderful World","271324","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","81790139","7.38263","7.62116","2.3218","188","30606","thing","It's a Wonderful World","1","5","45","45","45","2021","1,2,3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","La Boîte de Jeu; Origames","English","2021","English edition 2021"
"It's a Wonderful World: Corruption & Ascension","298851","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","76331010","6.70528","8.11837","2.5909","0","9592","thing","It's a Wonderful World: Corruption & Ascension","1","7","45","45","45","2020","1,2,3,4,5,6,7","3,4,5","12+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","La Boîte de Jeu; Origames","English","2020","English kickstarter edition"
"It's a Wonderful World: Heritage Edition","295260","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","76331008","6.33664","8.36581","2.325","0","2377","thing","It's a Wonderful World: Heritage Edition","1","5","60","60","30","2019","1,2,3,4,5","1","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","La Boîte de Jeu; Origames","English","2019","English edition"
"Just One","254640","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","67316006","7.43575","7.58829","1.0326","159","61946","thing","Just One","3","7","60","60","20","2018","4,5,6,7","6,7","8+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","Repos Production","Italian","2018","Italian edition"
"Kanji Battle","28718","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","10642448","5.41109","4.39973","1.4211","31061","635","thing","Kanji Battle","2","6","60","60","60","2007","","","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Edge Entertainment","Spanish","2007","First edition"
"Keltis","34585","7","1","2","1","0","0","0","0","0","0","0","3","","","","","","6985156","6.17374","6.43126","1.6368","2354","9554","thing","Keltis","2","4","30","30","30","2008","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","25","EUR","","","2009-01-09","","1","","","","KOSMOS","German","2008","German first edition"
"Kemet","127023","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","111309158","7.35772","7.62059","3.0067","205","21317","thing","Kemet","2","5","120","120","90","2013","3,4,5","4,5","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Asterion Press","Italian","2013","Italian edition"
"Kemet: Sangue e Sabbia","297562","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","111309309","7.1923","7.89478","3.2","313","11724","thing","Kemet: Blood and Sand","2","5","180","180","90","2021","3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Matagot; Pendragon Game Studio","Italian","2021","Italian edition"
"KeyForge: Il Richiamo degli Arconti – Starter Set","257501","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","56052967","6.71997","7.05984","2.4872","886","17288","thing","KeyForge: Call of the Archons","2","2","45","45","15","2018","2","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","10","EUR","","","2018-11-23","Goblin Bologna","3","","","","asmodee","Italian","2018","Italian edition"
"The King Is Dead: Second Edition","319966","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","95303867","7.12037","7.58449","2.1641","374","13378","thing","The King Is Dead: Second Edition","2","4","45","45","30","2020","2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"King of Con","247488","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","55715080","5.50901","6.23289","2","23534","92","thing","King of Con","2","5","60","60","60","2018","3,4","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Lega Nerd; Sir Chester Cobblepot","English; Italian","2018","English/Italian edition"
"King Up!","7806","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","60487816","5.95044","6.43663","1.2105","3530","2679","thing","Vive le Roi!","2","8","30","30","30","2010","3,4,5,6","5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","DV Games","English; French; German; Italian","2010","dV Giochi multilingual edition 2010"
"The King's Dilemma","245655","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","95303859","7.09169","7.66701","2.264","404","13570","thing","The King's Dilemma","3","5","60","60","45","2019","4,5","5","16+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Horrible Guild","Italian","2019","Italian edition"
"KIWI","240823","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133411491","0","7.17857","1.5","0","38","thing","KIWI","2","6","20","20","15","2017","3,4,5","3,4,5","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Kronologic: Paris 1920","402111","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","137394923","6.42918","7.46877","2.0545","1522","5503","thing","Kronologic: Paris 1920","1","4","30","30","30","2024","1,2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Ghenos Games","Italian","2024","Italian edition"
"Krosmaster: Arena","112138","0","0","0","1","0","0","0","0","0","0","0","3","","ludoteca CM","","","","21937469","6.17044","6.68692","2.6757","2367","7962","thing","Krosmaster: Arena","2","4","60","60","45","2013","2,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Ankama; Ghenos Games","Italian","2013","Italian edition"
"Krosmaster: Arena – Duel Pack 1","151456","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","22381722","5.58331","7.12455","2","10522","820","thing","Krosmaster: Arena – Duel Pack 1","2","2","10","10","10","2013","2","2","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","15","EUR","","","2014-02-16","","","","","","Ankama","French","2013","French edition"
"Krosmaster: Arena – Frigost","145040","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","21937491","5.67593","7.12974","2.9091","0","1840","thing","Krosmaster: Arena – Frigost","2","4","60","60","60","2014","2,4","2","12+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","Japanime Games","English","2014","English edition"
"Krosmaster: Arena – Multiman","151544","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","22381677","5.55032","6.88673","2","0","716","thing","Krosmaster: Arena – Multiman","2","4","60","60","60","2014","","","","","","","","","","expansion","","35","EUR","","","","","","","","","Japanime Games","English","2014","English edition"
"L'Assedio di Runedar","333539","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133410442","6.08325","6.99647","2.38","2770","3237","thing","The Siege of Runedar","1","4","90","90","60","2022","1,2,3,4","2,3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Ghenos Games; Ludonova","Italian","2022","Italian edition"
"Las Vegas Royale","271319","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","84262708","6.68846","7.45502","1.4512","941","7368","thing","Las Vegas Royale","2","5","60","60","45","2019","3,4,5","4,5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Ravensburger AG","Italian; Portuguese; Spanish","2019","Italian/Spanish/Portuguese edition"
"Last Night on Earth: The Zombie Game","29368","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","13784800","6.60555","6.89669","2.299","1101","19837","thing","Last Night on Earth: The Zombie Game","2","6","90","90","60","2007","2,3,4,5,6","5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","45","USD","","","2011-09-11","Wizard's Chest Denver, CO","1","","","","Flying Frog Productions","English","2007","English edition"
"La Leggenda dei Cinque Anelli: Il Gioco di Carte","184151","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","81789970","6.43581","7.3401","4.0142","1504","7531","thing","Legend of the Five Rings: The Card Game","2","2","90","90","45","2017","2","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","asmodee; Fantasy Flight Games","Italian","2017","Italian edition"
"Let's Go! To Japan","368173","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133410410","7.0711","7.56133","2.2596","423","14409","thing","Let's Go! To Japan","1","4","60","60","45","2024","1,2,3,4","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Lewis & Clark: Cédrick Chaboussit","164554","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","84262666","5.56056","7.03594","3","0","739","thing","Lewis & Clark: Cédrick Chaboussit","1","5","120","120","120","2014","","","","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","Ludonaute","(neutral)","2014","First edition"
"Lewis & Clark: The Expedition","140620","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","111309224","7.16534","7.42869","3.3179","337","20666","thing","Lewis & Clark: The Expedition","1","5","120","120","120","2020","1,2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","GateOnGames; Ludonaute","Italian","2020","Italian second edition"
"Little Soldiers","404356","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","145844018","5.59274","6.66566","1.7","9955","817","thing","Little Soldiers","2","6","120","120","30","2025","2,4","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","28","EUR","","","2026-05-22","","","","","2026-05-25","","","",""
"London (Second Edition)","236191","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","111309362","7.00108","7.47279","2.721","511","11439","thing","London (Second Edition)","2","4","90","90","60","2017","2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Osprey Games","English","2017","English edition"
"The Lord of the Rings: Journeys in Middle-Earth – Hunt for the Ember Crown","295353","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","66424398","6.05596","8.39507","2.4167","0","2613","thing","The Lord of the Rings: Journeys in Middle-Earth – Hunt for the Ember Crown","1","5","120","120","60","2019","1,2,3,4,5","2","10+","","","","","","","expansion","","","","","","","","","","","","","","",""
"The Lord of the Rings: Journeys in Middle-Earth – Poison Promise","367926","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","111440597","5.67549","8.58041","0","0","921","thing","The Lord of the Rings: Journeys in Middle-Earth – Poison Promise","1","5","120","120","60","2022","1,2,3,4","2,3","","","","","","","","expansion","","","","","","","","","","","","","","",""
"The Lord of the Rings: Journeys in Middle-Earth – Scourges of the Wastes Figure Pack","367925","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","111440593","5.90356","8.38263","2.8571","0","4639","thing","The Lord of the Rings: Journeys in Middle-Earth – Scourges of the Wastes Figure Pack","1","5","120","120","60","2022","1,2,3,4","2,3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"The Lord of the Rings: Journeys in Middle-Earth – Spreading War Expansion","342189","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","111440589","6.37934","8.65971","2.75","0","7893","thing","The Lord of the Rings: Journeys in Middle-Earth – Spreading War Expansion","1","5","120","120","60","2021","1,2,3,4","2,3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"The Lord of the Rings: Journeys in Middle-earth – The Haunting of Dale","319895","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","111440588","5.86542","8.56227","2.75","0","1868","thing","The Lord of the Rings: Journeys in Middle-earth – The Haunting of Dale","1","5","120","120","60","2020","1,2,3,4,5","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Love Letter","129622","10","0","0","1","0","0","0","0","0","0","0","3","","","","","","33871162","7.12178","7.22616","1.1843","372","118744","thing","Love Letter","2","4","20","20","20","2012","3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","uplay.it edizioni","Italian","2012","uplay Italian edition"
"Lupus in Tabula: The Jack-o'-Lantern","104872","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","14672899","0","6.1","1","0","134","thing","Lupus in Tabula: The Jack-o'-Lantern","8","24","30","30","30","2011","","","","","","","","","","expansion","","","","","","","","","","","","W. Nostheide Verlag GmbH","English; German","2011","English/German Spielbox edition"
"Magic Maze","209778","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","41697153","6.77292","6.93392","1.7512","805","38735","thing","Magic Maze","1","8","15","15","15","2017","2,3,4,5,6","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Ghenos Games","Italian","2017","Italian edition"
"Magic: The Gathering","463","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","54390068","7.41278","7.5986","3.2888","169","48413","thing","Magic: The Gathering","2","6","20","20","20","1993","2,3,4","2","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Magic: The Gathering – Arena of the Planeswalkers","167698","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","54390066","5.80639","6.12829","2.3832","4771","11976","thing","Magic: The Gathering – Arena of the Planeswalkers","2","5","60","60","60","2015","2,3,4,5","2,4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Hasbro; Wizards of the Coast","English","2015","English first edition"
"Mansions of Madness: Second Edition – Altered Fates","363616","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","111440608","5.67255","8.23396","2.75","0","1143","thing","Mansions of Madness: Second Edition – Altered Fates","1","5","120","120","90","2018","1,2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Mansions of Madness: Second Edition – Dark Reflections","363618","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","111440611","5.6577","8.21404","3.3333","0","1097","thing","Mansions of Madness: Second Edition – Dark Reflections","1","5","240","240","180","2017","3,4","2,3","12+","","","","","","","expansion","","","","","","","","","","","","","","",""
"Mansions of Madness: Second Edition – What Lies Within","363617","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","111440615","5.65863","8.21637","3","0","1107","thing","Mansions of Madness: Second Edition – What Lies Within","1","5","150","150","120","2016","3,4","2,3","12+","","","","","","","expansion","","","","","","","","","","","","","","",""
"Marvel Champions: Il Gioco di Carte","285774","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","81727356","7.78774","8.10503","2.964","50","49003","thing","Marvel Champions: The Card Game","1","4","90","90","45","2019","1,2,3","1,2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Fantasy Flight Games","Italian","2019","Italian edition"
"Marvel Champions: Il Gioco di Carte – L'Ascesa del Teschio Rosso","306430","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","81727374","6.9019","8.37845","2.7812","0","14808","thing","Marvel Champions: The Card Game – The Rise of Red Skull","1","4","90","90","45","2020","1,2,3","1,2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","Fantasy Flight Games","Italian","2020","Italian edition"
"Marvel United","298047","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","77240282","7.16437","7.53146","1.8487","340","29583","thing","Marvel United","1","4","40","40","40","2020","1,2,3,4","3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","CMON Global Limited; Spin Master Ltd.","Italian","2020","Italian edition"
"Marvel United: Deadpool","339131","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","111309262","5.83723","7.72254","1.8","0","4913","thing","Marvel United: Deadpool","1","5","40","40","40","2022","1,2,3,4,5","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Marvel United: Guardians of the Galaxy Remix","302670","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","111309277","6.00222","7.9798","2.0667","0","4650","thing","Marvel United: Guardians of the Galaxy Remix","1","4","45","45","30","2021","1,2,3,4","3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Marvel United: Rise of the Black Panther","302669","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","111309274","6.05159","7.85791","2.1429","0","6743","thing","Marvel United: Rise of the Black Panther","1","4","45","45","30","2021","1,2,3,4","2,3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Marvel United: Tales of Asgard","302668","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","111309271","5.95617","7.88143","2.1875","0","4422","thing","Marvel United: Tales of Asgard","1","4","45","45","30","2021","1,2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Mascarade","139030","8","2","0","1","0","0","0","0","0","0","0","1","","","","","","25048727","6.3272","6.54978","1.5296","1798","18135","thing","Mascarade","2","13","30","30","30","2013","4,5,6,7,8,9,10,11","6,7,8","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Asterion Press; Repos Production","Italian","2013","Italian edition"
"Mascarade: Usurpatore","144984","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","26098772","5.59907","6.90663","1.6","0","1014","thing","Mascarade: Usurper","0","0","0","0","0","2013","","","","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","Asterion Press; Repos Production","Italian","2013","Italian edition"
"Master Labyrinth","437","10","0","0","1","0","0","0","0","0","0","0","1","","","","","","6866507","5.91558","6.29741","1.7667","3793","6118","thing","Master Labyrinth","2","4","30","30","20","2007","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Ravensburger AG","Dutch; English; French; German; Italian","2007","Multilingual edition 2007"
"The Mind","244992","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","60487777","6.58704","6.70678","1.0743","1141","71358","thing","The Mind","2","4","20","20","20","2018","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","DV Games","Italian","2018","Italian edition"
"Mind MGMT: The Psychic Espionage “Game.”","284653","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","107506382","7.1777","7.77155","2.8931","327","16935","thing","Mind MGMT: The Psychic Espionage “Game.”","1","5","60","60","60","2022","1,2,3,4,5","2,3","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Off the Page Games","English","2022","English retail edition, second printing"
"MindTrap","1923","8.5","0","0","1","0","0","0","0","0","0","0","3","","","","","","6985732","5.17486","4.80256","1.9444","31282","5582","thing","MindTrap","2","16","60","60","60","1991","2,4,5,6,7,8,9,10","6","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","MindTrap Games, Inc.","English","1991","MindTrap English first edition"
